Date,Open,High,Low,Close,Adj Close,Volume
2017-08-04,136000.000000,137500.000000,129500.000000,130500.000000,128878.132813,505939
2017-08-07,128500.000000,135500.000000,128500.000000,134500.000000,132828.421875,334626
2017-08-08,135500.000000,136000.000000,133500.000000,135500.000000,133815.984375,108453
2017-08-09,134500.000000,137000.000000,134000.000000,134500.000000,132828.421875,136255
2017-08-10,134000.000000,134500.000000,129500.000000,130500.000000,128878.132813,284470
2017-08-11,128500.000000,131000.000000,126500.000000,127500.000000,125915.414063,241741
2017-08-14,127000.000000,131500.000000,123500.000000,131000.000000,129371.914063,484611
2017-08-16,131000.000000,136500.000000,129500.000000,136500.000000,134803.546875,335214
2017-08-17,135500.000000,137000.000000,134000.000000,135500.000000,133815.984375,122988
2017-08-18,134000.000000,138500.000000,132000.000000,138500.000000,136778.703125,181977
2017-08-21,139000.000000,143000.000000,137500.000000,142500.000000,140728.984375,299616
2017-08-22,143000.000000,145000.000000,142000.000000,144500.000000,142704.140625,326501
2017-08-23,145000.000000,145500.000000,141500.000000,143500.000000,141716.562500,220314
2017-08-24,154500.000000,157000.000000,151500.000000,155500.000000,153567.421875,1363312
2017-08-25,153000.000000,153500.000000,147000.000000,150000.000000,148135.781250,922485
2017-08-28,151500.000000,153500.000000,148000.000000,148500.000000,146654.437500,254527
2017-08-29,148000.000000,149000.000000,143500.000000,145500.000000,143691.703125,248788
2017-08-30,148000.000000,153000.000000,148000.000000,152500.000000,150604.718750,389665
2017-08-31,153000.000000,154500.000000,149000.000000,154500.000000,152579.843750,263067
2017-09-01,153000.000000,155000.000000,151500.000000,154500.000000,152579.843750,206062
2017-09-04,154500.000000,154500.000000,154500.000000,154500.000000,152579.843750,0
2017-09-05,152000.000000,152500.000000,149500.000000,150500.000000,148629.562500,125772
2017-09-06,152000.000000,157000.000000,150500.000000,157000.000000,155048.781250,408286
2017-09-07,156000.000000,159000.000000,156000.000000,158000.000000,156036.359375,317444
2017-09-08,156500.000000,157000.000000,149000.000000,150500.000000,148629.562500,369958
2017-09-11,151000.000000,152500.000000,149500.000000,150000.000000,148135.781250,146497
2017-09-12,150500.000000,151000.000000,146000.000000,147000.000000,145173.062500,220881
2017-09-13,147000.000000,149000.000000,145500.000000,149000.000000,147148.203125,189246
2017-09-14,149500.000000,152000.000000,147500.000000,149500.000000,147642.000000,195202
2017-09-15,149000.000000,150500.000000,148000.000000,150500.000000,148629.562500,181765
2017-09-18,150500.000000,155000.000000,150000.000000,154500.000000,152579.843750,287462
2017-09-19,155000.000000,156000.000000,153000.000000,154500.000000,152579.843750,196158
2017-09-20,156000.000000,157500.000000,155000.000000,156500.000000,154555.000000,256313
2017-09-21,156000.000000,156500.000000,154000.000000,156000.000000,154061.203125,163436
2017-09-25,151500.000000,152500.000000,149000.000000,150000.000000,148135.781250,147017
2017-09-26,150000.000000,150000.000000,150000.000000,150000.000000,148135.781250,0
2017-09-27,149500.000000,152500.000000,149000.000000,149500.000000,147642.000000,193536
2017-09-28,149000.000000,150000.000000,147500.000000,148000.000000,146160.640625,128300
2017-09-29,150000.000000,151500.000000,148500.000000,151500.000000,149617.140625,113389
2017-10-10,152500.000000,152500.000000,149500.000000,151500.000000,149617.140625,153927
2017-10-11,151500.000000,153500.000000,150500.000000,152500.000000,150604.718750,88344
2017-10-12,153500.000000,153500.000000,148500.000000,149000.000000,147148.203125,293874
2017-10-13,149000.000000,163500.000000,148500.000000,162000.000000,159986.656250,905002
2017-10-16,162000.000000,163500.000000,159500.000000,161000.000000,158999.078125,277650
2017-10-17,162500.000000,171500.000000,160500.000000,169500.000000,167393.421875,775357
2017-10-18,171000.000000,177000.000000,170000.000000,176500.000000,174306.437500,729789
2017-10-19,176500.000000,176500.000000,170500.000000,173000.000000,170849.937500,415227
2017-10-20,171500.000000,174500.000000,167000.000000,173500.000000,171343.734375,381346
2017-10-23,173000.000000,175500.000000,169000.000000,171000.000000,168874.781250,210946
2017-10-24,172500.000000,178000.000000,171000.000000,177000.000000,174800.234375,534099
2017-10-25,177000.000000,179000.000000,173500.000000,175000.000000,172825.062500,302473
2017-10-26,175000.000000,177000.000000,173500.000000,175500.000000,173318.859375,190939
2017-10-27,175500.000000,178000.000000,172500.000000,177500.000000,175294.015625,237931
2017-10-30,177500.000000,178000.000000,170000.000000,170500.000000,168381.000000,319823
2017-10-31,170500.000000,174500.000000,167500.000000,174000.000000,171837.500000,266244
2017-11-01,172000.000000,173500.000000,170000.000000,172000.000000,169862.375000,233214
2017-11-02,172500.000000,179500.000000,172500.000000,177500.000000,175294.015625,340360
2017-11-03,173500.000000,176000.000000,172500.000000,175000.000000,172825.062500,189676
2017-11-06,176000.000000,187500.000000,176000.000000,186500.000000,184182.156250,759611
2017-11-07,188500.000000,189000.000000,185000.000000,185500.000000,183194.578125,331002
2017-11-08,186000.000000,187500.000000,181500.000000,184500.000000,182207.000000,447132
2017-11-09,186500.000000,187000.000000,182500.000000,186000.000000,183688.375000,317563
2017-11-10,186500.000000,192500.000000,186000.000000,189500.000000,187144.875000,435867
2017-11-13,190500.000000,197500.000000,182000.000000,185500.000000,183194.578125,637935
2017-11-14,179500.000000,188000.000000,179000.000000,186500.000000,184182.156250,2349191
2017-11-15,190500.000000,193500.000000,186500.000000,192500.000000,190107.593750,538018
2017-11-16,190000.000000,192000.000000,186500.000000,191000.000000,188626.234375,304893
2017-11-17,193000.000000,194000.000000,184000.000000,185000.000000,182700.796875,397025
2017-11-20,185500.000000,187000.000000,183500.000000,183500.000000,181219.437500,226439
2017-11-21,186500.000000,192500.000000,185500.000000,191000.000000,188626.234375,501789
2017-11-22,192500.000000,193000.000000,184500.000000,185000.000000,182700.796875,382312
2017-11-23,187500.000000,189000.000000,185500.000000,187500.000000,185169.718750,204055
2017-11-24,189500.000000,192000.000000,188000.000000,188500.000000,186157.312500,247320
2017-11-27,191000.000000,191500.000000,182500.000000,186000.000000,183688.375000,321870
2017-11-28,186500.000000,188000.000000,175000.000000,178000.000000,175787.796875,476893
2017-11-29,180500.000000,183000.000000,173000.000000,179000.000000,176775.359375,524606
2017-11-30,177500.000000,177500.000000,169000.000000,169000.000000,166899.656250,511746
2017-12-01,170000.000000,184000.000000,170000.000000,183000.000000,180725.656250,617111
2017-12-04,183000.000000,187000.000000,181500.000000,186000.000000,183688.375000,331679
2017-12-05,184500.000000,185000.000000,178000.000000,182500.000000,180231.875000,297149
2017-12-06,180000.000000,187000.000000,180000.000000,183000.000000,180725.656250,281721
2017-12-07,186500.000000,186500.000000,179000.000000,182000.000000,179738.078125,298715
2017-12-08,182000.000000,186000.000000,181000.000000,185500.000000,183194.578125,332765
2017-12-11,186000.000000,189500.000000,186000.000000,188000.000000,185663.515625,369858
2017-12-12,188500.000000,192500.000000,187000.000000,192500.000000,190107.593750,357803
2017-12-13,191000.000000,200000.000000,191000.000000,198500.000000,196033.015625,703577
2017-12-14,199000.000000,200000.000000,193500.000000,199500.000000,197020.593750,1878360
2017-12-15,197500.000000,197500.000000,189500.000000,191000.000000,188626.234375,621734
2017-12-18,190000.000000,194000.000000,188500.000000,190500.000000,188132.437500,321564
2017-12-19,188000.000000,192000.000000,186500.000000,188000.000000,185663.515625,240933
2017-12-21,179500.000000,181000.000000,178000.000000,178500.000000,176281.578125,216249
2017-12-22,180000.000000,184500.000000,178500.000000,183000.000000,180725.656250,230688
2017-12-26,183000.000000,185500.000000,181500.000000,184500.000000,182207.000000,232325
2017-12-27,185000.000000,189500.000000,182000.000000,189500.000000,187510.750000,185701
2017-12-28,190500.000000,193500.000000,186500.000000,188500.000000,186521.250000,147604
2018-01-02,188500.000000,191000.000000,187000.000000,188500.000000,186521.250000,116732
2018-01-03,184000.000000,186000.000000,180000.000000,181000.000000,179099.968750,339535
2018-01-04,180000.000000,180000.000000,170500.000000,171500.000000,169699.703125,617781
2018-01-05,171500.000000,172000.000000,165000.000000,166500.000000,164752.187500,548947
2018-01-08,168500.000000,169000.000000,164000.000000,165500.000000,163762.671875,319328
2018-01-09,166000.000000,169500.000000,165500.000000,168500.000000,166731.187500,282347
2018-01-10,169500.000000,170000.000000,165000.000000,168000.000000,166236.437500,277028
2018-01-11,168500.000000,169000.000000,165500.000000,166000.000000,164257.437500,256453
2018-01-12,168000.000000,169000.000000,159500.000000,161500.000000,159804.671875,476619
2018-01-15,164000.000000,167000.000000,162500.000000,163500.000000,161783.687500,275891
