Date,Open,High,Low,Close,Adj Close,Volume
2017-10-23,54600.000000,54640.000000,54000.000000,54300.000000,47303.277344,8311050
2017-10-24,54700.000000,54780.000000,54040.000000,54040.000000,47076.781250,5806050
2017-10-25,54040.000000,54420.000000,53700.000000,53900.000000,46954.828125,5882850
2017-10-26,53720.000000,53900.000000,52400.000000,52400.000000,45648.097656,9776550
2017-10-27,52400.000000,53320.000000,52140.000000,53080.000000,46240.484375,7392500
2017-10-30,53780.000000,54320.000000,53700.000000,54040.000000,47076.781250,8196150
2017-10-31,54060.000000,55440.000000,53500.000000,55080.000000,47982.773438,13381550
2017-11-01,57500.000000,57500.000000,56180.000000,57220.000000,49847.019531,14510250
2017-11-02,57500.000000,57520.000000,56760.000000,57060.000000,49707.648438,10721050
2017-11-03,57060.000000,57140.000000,55860.000000,56380.000000,49115.261719,9935800
2017-11-06,56380.000000,56500.000000,55340.000000,56380.000000,49115.261719,9000950
2017-11-07,56380.000000,56920.000000,55860.000000,56100.000000,48871.339844,7464550
2017-11-08,56100.000000,57060.000000,55860.000000,56760.000000,49446.304688,8520200
2017-11-09,56920.000000,56920.000000,55900.000000,56340.000000,49080.417969,11994050
2017-11-10,55800.000000,56540.000000,55780.000000,56400.000000,49132.687500,6748800
2017-11-13,56400.000000,56800.000000,56100.000000,56380.000000,49115.261719,8806650
2017-11-14,56380.000000,56740.000000,55920.000000,55920.000000,48714.535156,6725000
2017-11-15,55920.000000,56320.000000,55320.000000,55340.000000,48209.269531,8816950
2017-11-16,55440.000000,56000.000000,55400.000000,55780.000000,48592.574219,7640700
2017-11-17,56400.000000,56880.000000,55820.000000,55820.000000,48627.425781,10733150
2017-11-20,55900.000000,55980.000000,55200.000000,55200.000000,48087.312500,9472750
2017-11-21,55400.000000,55840.000000,55280.000000,55280.000000,48157.003906,10324700
2017-11-22,55980.000000,56200.000000,55620.000000,55960.000000,48749.382813,7952950
2017-11-23,55960.000000,55980.000000,55020.000000,55300.000000,48174.421875,6272900
2017-11-24,55300.000000,55500.000000,55180.000000,55460.000000,48313.804688,4536200
2017-11-27,55360.000000,55360.000000,52640.000000,52640.000000,45857.167969,18128900
2017-11-28,52700.000000,53280.000000,51720.000000,53280.000000,46414.707031,13499400
2017-11-29,53200.000000,53240.000000,52500.000000,52600.000000,45822.328125,9590250
2017-11-30,50800.000000,51860.000000,50200.000000,50800.000000,44254.257813,29634150
2017-12-01,50800.000000,51780.000000,50800.000000,50840.000000,44289.109375,12868600
2017-12-04,50840.000000,51340.000000,50020.000000,51340.000000,44724.679688,14865050
2017-12-05,50600.000000,51300.000000,50280.000000,51260.000000,44654.992188,9326550
2017-12-06,51260.000000,51560.000000,50020.000000,50020.000000,43574.769531,10889200
2017-12-07,50040.000000,50980.000000,50020.000000,50740.000000,44201.992188,11065600
2017-12-08,51360.000000,52000.000000,51040.000000,52000.000000,45299.640625,11290450
2017-12-11,52000.000000,52040.000000,51500.000000,51780.000000,45107.988281,8125850
2017-12-12,51820.000000,52100.000000,51660.000000,52100.000000,45386.753906,8765050
2017-12-13,52100.000000,52100.000000,51100.000000,51320.000000,44707.261719,11333700
2017-12-14,51320.000000,52280.000000,51060.000000,51060.000000,44480.765625,20310400
