Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,19945.603516,20026.191406,19784.425781,19905.308594,19822.013672,1333900
2017-06-02,19985.896484,20328.396484,19985.896484,20308.250000,20223.267578,2989655
2017-06-05,20449.279297,21073.839844,20388.837891,21053.691406,20965.589844,4170258
2017-06-07,21154.427734,21819.281250,20993.250000,21758.839844,21667.787109,5055850
2017-06-08,21920.015625,22181.927734,21496.927734,21859.574219,21768.101563,4929236
2017-06-09,21859.574219,22161.781250,21738.693359,22121.486328,22028.917969,2927229
2017-06-12,21557.369141,21718.544922,20832.074219,21154.427734,21065.908203,6354237
2017-06-13,21396.191406,21658.103516,21255.162109,21537.222656,21447.099609,3252397
2017-06-14,21778.986328,21839.427734,21154.427734,21436.486328,21346.787109,3352218
2017-06-15,21496.927734,21537.222656,21114.132813,21255.162109,21166.216797,2079512
2017-06-16,21214.869141,21235.015625,20570.162109,20731.337891,20644.587891,4692393
2017-06-19,20630.603516,21053.691406,20630.603516,20912.662109,20825.152344,1962146
2017-06-20,21134.279297,21154.427734,20368.691406,20449.279297,20363.708984,2767826
2017-06-21,20187.367188,20207.515625,19744.132813,19905.308594,19822.013672,4733183
2017-06-22,20106.779297,20126.925781,19562.808594,19744.132813,19661.511719,2743008
2017-06-23,19703.837891,20449.279297,19643.396484,20449.279297,20363.708984,2682424
2017-06-26,20489.574219,20570.162109,20086.632813,20187.367188,20102.892578,1929103
2017-06-27,20288.103516,21033.544922,20227.662109,20912.662109,20825.152344,3621573
2017-06-28,20590.308594,20751.486328,20247.808594,20308.250000,20223.267578,2077666
2017-06-29,20630.603516,20691.044922,20308.250000,20449.279297,20363.708984,1263607
2017-06-30,20207.515625,20811.927734,20207.515625,20449.279297,20363.708984,1598926
2017-07-03,20630.603516,20691.044922,19965.750000,20026.191406,19942.390625,2314802
2017-07-04,20126.925781,20247.808594,19744.132813,19804.574219,19721.701172,2166056
2017-07-05,19844.867188,20670.898438,19844.867188,20650.750000,20564.337891,2961457
2017-07-06,20811.927734,21335.751953,20791.779297,20973.103516,20885.341797,3511854
2017-07-07,20852.220703,20892.515625,20187.367188,20469.427734,20383.773438,4947596
2017-07-10,20650.750000,20852.220703,20348.544922,20550.015625,20464.025391,1767869
2017-07-11,20650.750000,20650.750000,20086.632813,20247.808594,20163.080078,1750085
2017-07-12,19844.867188,20126.925781,19663.542969,19844.867188,19761.826172,3083524
2017-07-13,19985.896484,20247.808594,19844.867188,20126.925781,20042.703125,1582458
2017-07-14,20247.808594,20449.279297,19945.603516,19945.603516,19862.142578,978290
2017-07-17,19985.896484,20348.544922,19985.896484,20247.808594,20163.080078,1051348
2017-07-18,20449.279297,21053.691406,20348.544922,20852.220703,20764.962891,3480768
2017-07-19,21154.427734,21355.898438,20852.220703,21154.427734,21065.908203,2207452
2017-07-20,21355.898438,21456.632813,21154.427734,21154.427734,21065.908203,1724776
2017-07-21,21255.162109,21758.839844,21154.427734,21758.839844,21667.787109,2954195
2017-07-24,21859.574219,22262.515625,21557.369141,21960.310547,21868.417969,3120835
2017-07-25,22061.044922,22161.781250,21557.369141,21658.103516,21567.474609,1612388
2017-07-26,21758.839844,21859.574219,20952.957031,21255.162109,21166.216797,2318187
2017-07-27,21658.103516,22061.044922,21355.898438,22061.044922,21968.728516,3750688
2017-07-28,22665.457031,22967.664063,22061.044922,22363.251953,22269.671875,8373434
2017-07-31,22866.927734,24377.958984,22665.457031,24176.488281,24075.322266,15486894
2017-08-01,24478.695313,25083.107422,23572.076172,23773.546875,23674.064453,12450959
2017-08-02,22866.927734,23471.339844,22262.515625,23068.398438,22971.867188,10682811
2017-08-03,23471.339844,23572.076172,22665.457031,23068.398438,22971.867188,4999743
2017-08-04,22866.927734,23269.869141,22161.781250,22262.515625,22169.355469,4670787
2017-08-07,22363.251953,22665.457031,21758.839844,22262.515625,22169.355469,3365664
2017-08-08,22262.515625,22866.927734,22262.515625,22363.251953,22269.671875,2375823
2017-08-09,22363.251953,22463.986328,21658.103516,21859.574219,21768.101563,3095357
2017-08-10,22161.781250,22463.986328,21557.369141,21859.574219,21768.101563,3922227
2017-08-11,21658.103516,22262.515625,21456.632813,22161.781250,22069.046875,3889587
2017-08-14,22665.457031,22967.664063,22363.251953,22766.193359,22670.925781,3501118
2017-08-16,23068.398438,23169.134766,22866.927734,23068.398438,22971.867188,2707276
2017-08-17,23269.869141,23370.605469,22866.927734,23068.398438,22971.867188,1783023
2017-08-18,22766.193359,23169.134766,22665.457031,22866.927734,22771.240234,1754175
2017-08-21,22967.664063,23169.134766,22766.193359,22967.664063,22871.556641,1277798
2017-08-22,23068.398438,23471.339844,22766.193359,23269.869141,23172.494141,2154908
2017-08-23,23471.339844,23471.339844,23068.398438,23169.134766,23072.183594,1413808
2017-08-24,23269.869141,23874.283203,23269.869141,23471.339844,23373.125000,2454619
2017-08-25,23672.812500,23874.283203,23471.339844,23672.812500,23573.751953,2043403
2017-08-28,23773.546875,23874.283203,23471.339844,23773.546875,23674.064453,1481182
2017-08-29,23572.076172,24176.488281,23471.339844,23975.017578,23874.695313,3374172
2017-08-30,24680.166016,25183.841797,24579.429688,24579.429688,24476.578125,6353036
2017-08-31,24780.900391,25083.107422,24579.429688,24780.900391,24677.205078,3053177
2017-09-01,24780.900391,24780.900391,24176.488281,24579.429688,24476.578125,2529915
2017-09-04,24579.429688,24579.429688,24579.429688,24579.429688,24476.578125,0
2017-09-05,24478.695313,25385.312500,24277.224609,25284.578125,25178.771484,5209550
2017-09-06,25385.312500,25989.724609,25183.841797,25788.253906,25680.341797,5367633
2017-09-07,25788.253906,25989.724609,25486.048828,25586.783203,25479.714844,3156200
2017-09-08,25788.253906,26191.195313,25687.519531,26090.460938,25981.283203,3250750
2017-09-11,26191.195313,26594.136719,26090.460938,26291.931641,26181.910156,3296473
2017-09-12,26291.931641,26392.666016,25888.990234,26291.931641,26181.910156,3178302
2017-09-13,26191.195313,26191.195313,25586.783203,25687.519531,25580.027344,4824621
2017-09-14,25989.724609,26795.607422,25888.990234,26594.136719,26482.853516,12371920
2017-09-15,26694.873047,27400.019531,26392.666016,27299.285156,27185.048828,5692236
2017-09-18,27500.755859,27702.226563,27198.548828,27299.285156,27185.048828,3564651
2017-09-19,27198.548828,27601.490234,26594.136719,27601.490234,27485.992188,3208456
2017-09-20,27802.960938,29011.785156,27802.960938,28709.580078,28589.443359,6559344
2017-09-21,29011.785156,29112.521484,28105.167969,28608.843750,28489.130859,4047580
2017-09-25,27400.019531,28306.638672,26997.078125,27903.697266,27786.933594,3440256
2017-09-26,27903.697266,27903.697266,27903.697266,27903.697266,27786.933594,0
2017-09-27,28508.109375,28608.843750,28105.167969,28306.638672,28188.187500,2272200
2017-09-28,28306.638672,28407.373047,28004.431641,28105.167969,27987.562500,1589238
2017-09-29,28306.638672,29213.255859,28105.167969,29011.785156,28890.386719,3725354
2017-10-10,29616.199219,30119.875000,29313.992188,30019.140625,29893.525391,4156951
2017-10-11,30119.875000,30522.816406,29817.669922,30321.345703,30194.462891,2598317
2017-10-12,30522.816406,32134.582031,30422.082031,32134.582031,32000.115234,6473009
2017-10-13,32235.318359,33847.082031,30522.816406,30724.287109,30595.718750,12622572
2017-10-16,30321.345703,31630.906250,29414.726563,31429.435547,31297.919922,8556994
